address,distance,review_count,ratings,chain,city,lat,long
1,21.95477074,2,4.5,1,4,37.56295,-122.01004
2,28.70581352,3,4.5,2,4,37.48906669,-121.9294138
5,23.14241673,1,4,1,4,37.55131513,-121.9938498
1,23.48550579,2,4.5,1,4,37.5536945,-121.981043
5,20.08046287,1,4,1,4,37.576149,-122.0437049
2,24.26169437,1,4,1,3,37.52296041,-122.0057856
2,28.73991854,3,4,8,4,37.48856826,-121.9291913
1,28.70409968,1,4.5,7,4,37.48844291,-121.9303837
2,28.59014731,2,3.5,1,4,37.4922976,-121.9279187
1,26.56347695,2,3.5,5,4,37.50077829,-121.973168
5,20.15638303,2,3.5,1,4,37.5754481,-122.0425869
2,28.45444789,2,4,1,4,37.49354144,-121.9298894
1,24.98775415,1,3.5,1,4,37.51959738,-121.9894932
1,26.3995575,1,3.5,16,4,37.50499244,-121.9712317
2,21.24757967,2,4,16,3,37.55069358,-122.0514675
1,25.45038559,1,4,15,4,37.53195,-121.95789
1,26.26690206,1,3.5,1,4,37.53123141,-121.9370478
2,21.23842337,2,4,2,3,37.55150492,-122.0502722
2,24.68974077,1,4,8,3,37.5208,-121.996426
5,20.31154222,2,3.5,1,4,37.57509,-122.0386
1,23.7878885,1,3,1,4,37.543782,-121.986825
2,24.21166217,3,3.5,1,3,37.523356,-122.006645
1,26.58839716,4,3,2,4,37.500044,-121.973622
5,20.23861404,1,3.5,1,4,37.5757,-122.03977
2,26.91759025,1,3.5,1,4,37.53181,-121.91944
2,18.42423968,1,3.5,1,2,37.58971912,-122.0711484
1,25.07017876,1,3.5,1,4,37.51806664,-121.9895241
2,30.30324101,5,4,2,3,37.3929561,-122.0792811
8,29.14215837,3,4,9,1,37.40125417,-122.1144693
2,28.4167572,2,3.5,18,4,37.4932967,-121.9312981
1,26.9345329,1,4,1,4,37.5304985,-121.9206376
5,21.76057493,1,3,18,4,37.56311185,-122.0152915
2,20.21370806,2,4,1,2,37.5889987,-122.0208657
1,20.23586442,2,3.5,15,2,37.587234,-122.022712
2,36.53005412,3,4,1,4,37.3878,-121.86019
1,13.16772907,2,4,16,2,37.695911,-122.072915
1,21.4274767,1,3.5,1,3,37.54872,-122.04929
2,31.15485597,2,4,1,4,37.45473517,-121.9115719
2,20.19142749,2,3.5,2,2,37.58957545,-122.0206749
1,26.98307252,1,4,1,3,37.42655,-122.14632
1,32.98523733,3,4,16,4,37.43274,-121.89277
2,18.55401894,1,3.5,1,2,37.58941639,-122.0676834
2,28.42370358,2,4,1,4,37.49369,-121.93053
2,26.87788552,1,3.5,1,4,37.53259,-121.91949
1,32.36831249,1,4.5,2,4,37.42644,-121.92162
2,31.16426554,2,4.5,1,4,37.45558547,-121.9099843
2,32.8448814,4,4,4,4,37.42081517,-121.9165921
2,20.15513597,3,3.5,6,2,37.58944548,-122.021834
1,25.37740973,1,4,8,3,37.447628,-122.160728
2,10.93992115,1,4,15,4,37.68748718,-122.1360236
1,1.712910894,6,4,6,4,37.7899434,-122.4073063
1,1.117561458,4,4,6,4,37.75994,-122.42112
4,2.753451615,4,4,1,4,37.7633253,-122.4798778
4,1.691594209,3,4,1,4,37.781425,-122.4608022
1,1.625559961,2,4,9,4,37.79631597,-122.421976
1,0.671747357,2,4,6,4,37.78365,-122.43247
2,1.867673385,2,4.5,16,4,37.79057199,-122.4043042
1,0.429904282,2,4,6,4,37.772885,-122.4235464
2,1.906825152,6,3.5,1,4,37.79142644,-122.404249
1,1.889715658,2,4.5,1,4,37.79326044,-122.4067625
1,3.635369963,7,3.5,3,4,37.775906,-122.497818
1,3.701807636,1,4.5,1,4,37.7254643,-122.402527
2,1.800377638,2,4,2,4,37.78818949,-122.4036682
1,3.345476319,2,4,5,4,37.7429212,-122.4782898
1,1.938839015,1,4,6,4,37.76656764,-122.3970559
4,2.538420654,1,4,1,4,37.78029568,-122.4770848
1,1.988683904,1,4,1,4,37.78033457,-122.3957827
2,3.514354869,1,4,1,4,37.72322,-122.43556
4,2.680189661,3,3.5,4,4,37.7636264,-122.4785915
1,3.504146822,1,4,1,4,37.75339,-122.48993
4,2.883249013,1,4.5,1,4,37.76346681,-122.4823866
1,2.441693288,1,4.5,1,4,37.76355765,-122.3885771
1,2.269281,1,4,1,4,37.78253482,-122.3911802
2,2.704712733,1,3.5,1,4,37.78227814,-122.4796964
0,1.209489689,1,4.5,1,4,37.77448,-122.40916
1,1.092655862,2,4.5,1,4,37.78790507,-122.4407617
4,2.815877931,2,3.5,16,4,37.7635307,-122.4811325
4,2.335880324,1,4.5,1,4,37.7804213,-122.4732843
1,1.685028364,2,3.5,15,4,37.78446433,-122.4034429
4,1.967444124,1,3.5,1,4,37.7639596,-122.465019
1,2.887108659,1,3.5,1,4,37.7542929,-122.4779253
1,3.467897114,1,3.5,1,4,37.74263912,-122.4808923
1,1.897517595,1,4.5,1,4,37.79555932,-122.4098162
1,1.956853454,1,3.5,1,4,37.78304429,-122.4652418
4,2.535722923,1,3.5,1,4,37.78054677,-122.476978
2,2.210680576,1,3.5,1,4,37.7829,-122.47017
1,2.27040704,1,4,1,4,37.77870701,-122.3901575
1,2.746253485,1,3.5,1,4,37.73429,-122.43417
1,3.709379079,1,3.5,5,4,37.72429542,-122.4570445
1,2.107713404,1,5,1,4,37.79753995,-122.40679
1,1.935594341,1,3.5,3,4,37.794315,-122.406927
2,1.192779518,1,4.5,1,4,37.75948,-122.41943
1,3.72728927,1,4.5,1,4,37.723259,-122.4545593
2,2.068056233,1,4.5,1,4,37.7957899,-122.40537
2,1.926305611,1,3.5,1,4,37.78288767,-122.4647183
2,4.872443242,1,3.5,1,1,37.70689,-122.4588
4,2.528310499,1,3.5,1,4,37.78076,-122.47679
4,1.289846923,2,4,1,4,37.7814293,-122.4529495
4,2.075973899,1,3.5,1,4,37.76384,-122.46708
4,2.943556468,2,4,9,4,37.7804,-122.48458
2,0.260140974,2,4,16,3,37.80061359,-122.2706769
1,2.075582953,3,3.5,2,3,37.828969,-122.249297
1,0.275616438,1,4,1,3,37.8004754,-122.2722423
2,4.396467355,2,4,1,2,37.86786971,-122.2660823
2,0.273542791,2,4,1,3,37.80044556,-122.2718353
4,4.671999835,4,4,2,2,37.8719582,-122.268859
2,3.068979687,1,4,16,2,37.7673552,-122.24003
2,0.240074789,1,3,18,3,37.8009841,-122.2700858
1,2.565947385,1,4,1,3,37.83818,-122.25168
2,4.46261949,2,4,15,2,37.8684064,-122.2605113
1,4.597287428,1,4,1,2,37.87087,-122.26857
2,15.30151865,2,4,1,2,37.94857085,-122.0581788
1,4.468783582,1,4,1,2,37.86821,-122.25803
1,1.340870262,1,3.5,15,2,37.7867215,-122.2813447
1,4.572675416,2,3.5,3,2,37.8704335,-122.2662693
2,3.195985265,1,3.5,1,2,37.76394,-122.24266
1,13.24840411,1,4,16,2,37.89813189,-122.059291
2,0.344050974,1,3.5,2,3,37.7994484,-122.2700968
1,1.385892363,1,4,1,3,37.81106,-122.24718
2,2.34383289,1,4,1,2,37.7708201,-122.2775159
1,3.166452478,1,4.5,25,3,37.7765099,-122.2250587
1,8.51277903,2,4,16,4,37.72272,-122.15439
2,0.255695861,1,3.5,1,3,37.8007358,-122.270182
2,4.500211256,1,4,1,2,37.86864,-122.25779
